,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha018,alpha022,alpha033,alpha038,alpha040,alpha041,alpha043,alpha101
alpha002,1.0,-0.04125684904579969,0.0027728809984463223,0.03722609114617624,-0.10304011232612915,-0.013609553600396479,0.009970806396721835,0.008953640736481224,-0.02242106701788285,0.13884656148942512,0.02814542193273826,-0.10028137104854923,0.012728130408778538,-0.023702157944791566,-0.017551458204835366,-0.013139072482877401,0.06783125896737888,-0.024179450741742683,-0.01840464305360284,0.011197244477088478
alpha003,-0.04125684904579969,1.0,0.10447627493500916,-0.03241727295777838,0.2807911761195792,0.026468718858105478,0.024699077251520367,0.019698498748162093,0.06750217477354922,0.011380197469782935,0.01209166457837401,0.2320586370771353,0.021381087353978288,0.0926334268717463,0.029684266857684955,0.028134780395399288,0.2960176346204949,0.01471443216520884,-0.0010642485495683152,-0.01798601253627909
alpha004,0.0027728809984463223,0.10447627493500916,1.0,0.16229970532826812,-0.028276253951314445,0.06680925419150385,0.09371521123660098,0.04425090599976797,0.1232742714171407,-0.012529686952137001,0.02960254568413063,-0.0450963813795326,0.0913184905588928,0.018750721420803453,0.1264944113783839,0.2306423975215467,-0.04428497736530499,0.1386692295506613,0.1312482690301722,-0.1196709696117617
alpha005,0.03722609114617624,-0.03241727295777838,0.16229970532826812,1.0,-0.019130711623179253,0.07907036728919334,-0.1391605661109393,-0.17416421583648575,0.14212488416622077,-0.014325147415297704,0.02652142701955822,-0.022436413607525702,-0.137251702675782,-0.014688609511597629,-0.10078210948671228,0.1053509725703445,0.02917776536582746,-0.11331917431582883,0.10384614344598792,0.09153947690684423
alpha006,-0.10304011232612915,0.2807911761195792,-0.028276253951314445,-0.019130711623179253,1.0,0.08480150636345728,0.01108148851120491,0.008909954697793659,0.034842642143417264,0.013017245012261633,-0.004685376855690789,0.9119554526192575,-0.020198110866643314,0.018762772353562142,0.006579144554100206,-0.001712147308619752,0.7177264971643041,-0.008302569691641485,0.002173220067549843,0.01636738981899333
alpha007,-0.013609553600396479,0.026468718858105478,0.06680925419150385,0.07907036728919334,0.08480150636345728,1.0,0.0436354848203278,0.023228320021737678,0.4496260184980737,0.1550424944412338,0.020852463407321515,0.08723307996752498,0.05126655133200183,0.03646786563636141,0.029028780697132616,0.0744853223495449,0.07621345015068769,0.043142978079505054,0.5592653827307609,-0.04100529281035708
alpha009,0.009970806396721835,0.024699077251520367,0.09371521123660098,-0.1391605661109393,0.01108148851120491,0.0436354848203278,1.0,0.8832459512627657,0.1804307748867662,0.008597977298738244,0.07289346922316359,-0.018006443327159363,0.5160906289077177,-0.010276410061322976,0.7766703822039809,0.6999542657780562,-0.020450445182485597,0.8740658534415117,0.20542159478392694,-0.7466006512113313
alpha010,0.008953640736481224,0.019698498748162093,0.04425090599976797,-0.17416421583648575,0.008909954697793659,0.023228320021737678,0.8832459512627657,1.0,0.10789316219625755,0.016742644226692267,0.07336427098291541,-0.018974657791268536,0.45069405747196756,-0.0073172334513977805,0.7042628086614708,0.6163702922732828,-0.00998857675749627,0.7728528549028723,0.15826422843876486,-0.6737834109584852
alpha011,-0.02242106701788285,0.06750217477354922,0.1232742714171407,0.14212488416622077,0.034842642143417264,0.4496260184980737,0.1804307748867662,0.10789316219625755,1.0,0.01517524734903387,0.02153771592396726,0.03783430581378806,0.14691498043639187,-0.014169528203833725,0.20100175712622323,0.26646050745010896,0.009996177195291868,0.2337836088134111,0.5202263459407085,-0.19826652515043702
alpha012,0.13884656148942512,0.011380197469782935,-0.012529686952137001,-0.014325147415297704,0.013017245012261633,0.1550424944412338,0.008597977298738244,0.016742644226692267,0.01517524734903387,1.0,0.06636931687202172,-0.03070738259930338,-0.013476101523713339,0.0969333188500308,-0.012610297020045496,-0.02229002199139835,0.10000106945044553,-0.02418392453574587,0.09417830478121607,0.013596788992476535
alpha013,0.02814542193273826,0.01209166457837401,0.02960254568413063,0.02652142701955822,-0.004685376855690789,0.020852463407321515,0.07289346922316359,0.07336427098291541,0.02153771592396726,0.06636931687202172,1.0,-0.010322091946517394,0.023728096436392888,0.022692693401553672,0.016152166608154588,0.029820299760313546,0.06526505041171286,0.04179026439297082,0.04902192922122314,-0.03072251775689652
alpha014,-0.10028137104854923,0.2320586370771353,-0.0450963813795326,-0.022436413607525702,0.9119554526192575,0.08723307996752498,-0.018006443327159363,-0.018974657791268536,0.03783430581378806,-0.03070738259930338,-0.010322091946517394,1.0,-0.043552514958182416,-0.008306023443896637,-0.03058443793070637,-0.03689178754103333,0.6580756664303629,-0.042301970038240364,-0.004370517554121901,0.04685572367646218
alpha018,0.012728130408778538,0.021381087353978288,0.0913184905588928,-0.137251702675782,-0.020198110866643314,0.05126655133200183,0.5160906289077177,0.45069405747196756,0.14691498043639187,-0.013476101523713339,0.023728096436392888,-0.043552514958182416,1.0,-0.02049373175934151,0.5326265965428225,0.4839455043463494,-0.020747651914608832,0.5895031930616198,0.14800145509448134,-0.529832850162209
alpha022,-0.023702157944791566,0.0926334268717463,0.018750721420803453,-0.014688609511597629,0.018762772353562142,0.03646786563636141,-0.010276410061322976,-0.0073172334513977805,-0.014169528203833725,0.0969333188500308,0.022692693401553672,-0.008306023443896637,-0.02049373175934151,1.0,0.013093483270799296,-0.007218330642896535,0.015773560034430575,-0.011167817712583643,0.018699962300979176,-0.016690457916469396
alpha033,-0.017551458204835366,0.029684266857684955,0.1264944113783839,-0.10078210948671228,0.006579144554100206,0.029028780697132616,0.7766703822039809,0.7042628086614708,0.20100175712622323,-0.012610297020045496,0.016152166608154588,-0.03058443793070637,0.5326265965428225,0.013093483270799296,1.0,0.8809569897133158,0.00033490105899427596,0.8925441041096959,0.2088908794304094,-0.9031544039613506
alpha038,-0.013139072482877401,0.028134780395399288,0.2306423975215467,0.1053509725703445,-0.001712147308619752,0.0744853223495449,0.6999542657780562,0.6163702922732828,0.26646050745010896,-0.02229002199139835,0.029820299760313546,-0.03689178754103333,0.4839455043463494,-0.007218330642896535,0.8809569897133158,1.0,0.0062284216014256155,0.8016399426978663,0.2921470016380332,-0.8244307984374559
alpha040,0.06783125896737888,0.2960176346204949,-0.04428497736530499,0.02917776536582746,0.7177264971643041,0.07621345015068769,-0.020450445182485597,-0.00998857675749627,0.009996177195291868,0.10000106945044553,0.06526505041171286,0.6580756664303629,-0.020747651914608832,0.015773560034430575,0.00033490105899427596,0.0062284216014256155,1.0,-0.04031327386267909,-0.013199174683088354,0.03233425534351896
alpha041,-0.024179450741742683,0.01471443216520884,0.1386692295506613,-0.11331917431582883,-0.008302569691641485,0.043142978079505054,0.8740658534415117,0.7728528549028723,0.2337836088134111,-0.02418392453574587,0.04179026439297082,-0.042301970038240364,0.5895031930616198,-0.011167817712583643,0.8925441041096959,0.8016399426978663,-0.04031327386267909,1.0,0.22602618414536355,-0.8577234008207194
alpha043,-0.01840464305360284,-0.0010642485495683152,0.1312482690301722,0.10384614344598792,0.002173220067549843,0.5592653827307609,0.20542159478392694,0.15826422843876486,0.5202263459407085,0.09417830478121607,0.04902192922122314,-0.004370517554121901,0.14800145509448134,0.018699962300979176,0.2088908794304094,0.2921470016380332,-0.013199174683088354,0.22602618414536355,1.0,-0.2337330081373767
alpha101,0.011197244477088478,-0.01798601253627909,-0.1196709696117617,0.09153947690684423,0.01636738981899333,-0.04100529281035708,-0.7466006512113313,-0.6737834109584852,-0.19826652515043702,0.013596788992476535,-0.03072251775689652,0.04685572367646218,-0.529832850162209,-0.016690457916469396,-0.9031544039613506,-0.8244307984374559,0.03233425534351896,-0.8577234008207194,-0.2337330081373767,1.0
