,mean_ic,ic_std,positive_ic_rate,icir
alpha003,0.20340531282576138,0.5887371748480951,0.53125,0.3454942570566292
alpha004,0.05188777720720419,0.34189871589923915,0.5104166666666666,0.15176359194778613
alpha005,0.04761427746521675,0.3153605270973772,0.53125,0.150983631031649
alpha011,0.029863159041449164,0.2858224228048616,0.5833333333333334,0.10448151250133905
alpha101,0.026835769097392236,0.27849134358705563,0.5,0.09636123245964896
alpha007,0.009845992670235936,0.2860321763704225,0.5208333333333334,0.034422675082138324
alpha022,0.008546958375605564,0.29468962785272956,0.4895833333333333,0.029003254840977596
alpha002,0.003163574461113283,0.3106746100172943,0.5104166666666666,0.01018291923159468
alpha006,-0.004235280277993259,0.30175948365646477,0.40625,-0.014035284746228137
alpha038,-0.0045314887357630175,0.30086243702308674,0.4791666666666667,-0.01506166333225338
alpha040,-0.005424282321640097,0.2881020897167311,0.46875,-0.01882763962931814
alpha010,-0.005888847994111156,0.29791710861569154,0.4791666666666667,-0.019766733174453835
alpha033,-0.007066617592933382,0.28587466806102596,0.5104166666666666,-0.02471928569559323
alpha014,-0.010743662523671546,0.300899842442954,0.4479166666666667,-0.03570511182872547
alpha043,-0.013110525851468461,0.3146917238194981,0.4583333333333333,-0.041661489194385164
alpha013,-0.015713203856978136,0.3036676621240359,0.46875,-0.05174473879461005
alpha041,-0.019168384019595117,0.3217324534290186,0.5208333333333334,-0.05957864621768438
alpha009,-0.021199162528381055,0.30477129913748685,0.4895833333333333,-0.06955760791247538
alpha012,-0.02219286608186347,0.2945567731087351,0.4375,-0.07534325504601794
alpha018,-0.02730953257269047,0.33115346991872824,0.4479166666666667,-0.08246790401861946
