feature,importance
alpha004__lag_55,0.011042358
alpha004__lag_58,0.010343801
alpha004__lag_56,0.0073092123
alpha038__lag_27,0.007170736
alpha007__lag_05,0.007131708
alpha004__lag_03,0.0065976856
alpha038__lag_41,0.0065042265
alpha007__lag_51,0.0064972555
alpha003__lag_28,0.0063545005
alpha012__lag_51,0.0063465396
alpha005__lag_46,0.006211723
alpha007__lag_33,0.006102454
alpha011__lag_35,0.0060879863
alpha005__lag_00,0.006053442
alpha012__lag_59,0.00604261
alpha014__lag_44,0.006018415
alpha007__lag_41,0.006010401
alpha007__lag_50,0.00600361
alpha005__lag_18,0.0060022394
alpha003__lag_12,0.005957498
alpha004__lag_34,0.005766977
alpha011__lag_24,0.005735861
alpha004__lag_19,0.0056984695
alpha007__lag_45,0.005630804
alpha004__lag_07,0.0056009237
alpha007__lag_58,0.005558662
alpha009__lag_00,0.0055550924
alpha007__lag_31,0.0055077933
alpha003__lag_00,0.005485428
alpha011__lag_11,0.005409248
alpha010__lag_41,0.005309704
alpha038__lag_09,0.0052768756
alpha002__lag_26,0.0052685216
alpha041__lag_42,0.0052341195
alpha005__lag_37,0.0052090157
alpha005__lag_58,0.005205685
alpha004__lag_08,0.0052038087
alpha041__lag_44,0.0051926356
alpha043__lag_31,0.0050351433
alpha007__lag_36,0.0049747666
alpha004__lag_00,0.00496604
alpha002__lag_54,0.004962058
alpha004__lag_26,0.004902089
alpha012__lag_11,0.0048702676
alpha007__lag_23,0.004747467
alpha009__lag_22,0.0047044884
alpha007__lag_49,0.004688996
alpha009__lag_13,0.0046496275
alpha038__lag_42,0.0046095513
alpha009__lag_55,0.0045949845
alpha038__lag_31,0.00455591
alpha022__lag_42,0.0045198705
alpha004__lag_15,0.0045158947
alpha043__lag_45,0.0045135915
alpha002__lag_55,0.004508402
alpha007__lag_00,0.0045073815
alpha002__lag_17,0.0044518816
alpha006__lag_20,0.0044234158
alpha101__lag_46,0.0043226285
alpha004__lag_13,0.004311676
alpha014__lag_43,0.0042915065
alpha005__lag_11,0.0042662416
alpha005__lag_22,0.0042355843
alpha040__lag_24,0.004195595
alpha002__lag_39,0.0041800854
alpha009__lag_41,0.0041762376
alpha038__lag_54,0.003989799
alpha040__lag_42,0.0039506736
alpha005__lag_59,0.003947967
alpha006__lag_07,0.0038798414
alpha005__lag_12,0.0038189744
alpha018__lag_29,0.0037642848
alpha002__lag_10,0.0037638142
alpha043__lag_03,0.0036822513
alpha040__lag_47,0.0036302058
alpha006__lag_26,0.003626662
alpha009__lag_40,0.0035822843
alpha004__lag_33,0.003460505
alpha041__lag_58,0.0033971716
alpha040__lag_44,0.0033917706
alpha038__lag_04,0.0033756203
alpha004__lag_38,0.003371891
alpha038__lag_57,0.003359896
alpha004__lag_18,0.0033585099
alpha006__lag_18,0.0033320263
alpha038__lag_12,0.0032571077
alpha011__lag_57,0.0032512788
alpha005__lag_26,0.0032270183
alpha038__lag_08,0.003171098
alpha101__lag_38,0.00316087
alpha014__lag_15,0.00315905
alpha101__lag_43,0.003123214
alpha043__lag_38,0.0030958732
alpha007__lag_38,0.0030937602
alpha012__lag_09,0.0030525203
alpha006__lag_42,0.0030524007
alpha043__lag_50,0.0030407931
alpha101__lag_13,0.0030361114
alpha009__lag_07,0.0030326836
alpha010__lag_46,0.0030194784
alpha014__lag_57,0.0030163778
alpha009__lag_48,0.0030096553
alpha003__lag_21,0.0029787498
alpha005__lag_36,0.0029622307
alpha043__lag_59,0.0029580838
alpha101__lag_01,0.0029487684
alpha014__lag_14,0.0029464804
alpha040__lag_58,0.0029406645
alpha010__lag_47,0.0029261622
alpha043__lag_49,0.0029204944
alpha101__lag_34,0.0029194884
alpha003__lag_50,0.0029050603
alpha005__lag_55,0.002902099
alpha101__lag_24,0.0028866811
alpha007__lag_02,0.002884483
alpha038__lag_11,0.0028811428
alpha014__lag_32,0.0028766121
alpha009__lag_12,0.002873754
alpha038__lag_30,0.002850964
alpha041__lag_52,0.0028497437
alpha013__lag_03,0.0028459313
alpha006__lag_48,0.0028177386
alpha022__lag_39,0.00278747
alpha041__lag_19,0.002741779
alpha038__lag_17,0.0027416288
alpha013__lag_52,0.002721988
alpha003__lag_58,0.0027133224
alpha009__lag_46,0.0026993025
alpha010__lag_26,0.002675152
alpha012__lag_45,0.0026661851
alpha004__lag_42,0.0026337681
alpha003__lag_14,0.002631664
alpha041__lag_12,0.0026233597
alpha013__lag_19,0.002619722
alpha041__lag_08,0.0026192223
alpha003__lag_55,0.0026122464
alpha009__lag_14,0.002608485
alpha012__lag_16,0.0026004305
alpha013__lag_44,0.0025969194
alpha004__lag_59,0.002586282
alpha043__lag_33,0.0025621275
alpha018__lag_15,0.0025505314
alpha006__lag_36,0.0025349942
alpha022__lag_57,0.0025223724
alpha101__lag_14,0.002520237
alpha014__lag_30,0.0025140946
alpha038__lag_13,0.0025100936
alpha018__lag_52,0.0024973322
alpha002__lag_40,0.0024970607
alpha005__lag_04,0.0024935384
alpha004__lag_46,0.0024899133
alpha007__lag_12,0.0024840597
alpha010__lag_14,0.0024827393
alpha033__lag_34,0.0024748633
alpha007__lag_52,0.002460388
alpha007__lag_08,0.002450452
alpha007__lag_30,0.0024396637
alpha033__lag_28,0.002431314
alpha038__lag_28,0.002412003
