factor,annual_return,sharpe,max_drawdown,information_ratio,average_turnover,win_rate,average_return,total_cost,mean_ic,ic_std,icir,direction,selection_score
alpha002,-0.03355724524537396,-0.2715869010770145,-0.1793529627028433,-0.2715869010770145,0.29999999999999993,0.5217391304347826,-0.002396731939789628,0.017939999999999998,0.007431178606534615,0.29627830779977754,0.025081750539619474,1.0,0.025081750539619474
alpha003,0.16244713667753508,1.844617041227426,-0.059994969014003696,1.844617041227426,0.26086956521739124,0.5652173913043478,0.0128985520178256,0.015599999999999996,0.1259340810172423,0.5527715055115692,0.22782303313680224,1.0,0.22782303313680224
alpha004,0.018090700383041947,0.25584729741859435,-0.06866716211064239,0.25584729741859435,0.2567505720823798,0.4782608695652174,0.0017752069975042549,0.015353684210526311,0.043505700111227605,0.35421465561114224,0.12282298155101824,1.0,0.12282298155101824
alpha005,-0.06545073268607804,-0.5513596598904661,-0.2115319067304683,-0.5513596598904661,0.2999999999999999,0.5217391304347826,-0.005119817894584622,0.017939999999999994,0.08101142680808929,0.30874778095547567,0.262387073867818,1.0,0.262387073867818
alpha006,-0.08784008915564834,-0.9118837747462849,-0.16511590317007685,-0.9118837747462849,0.2999999999999999,0.34782608695652173,-0.007265946999487802,0.017939999999999994,-0.005863910428103856,0.3169225256393456,-0.018502662176739442,-1.0,0.018502662176739442
alpha007,0.03634017288657554,0.3566436792698738,-0.10821408146152778,0.3566436792698738,0.2999999999999999,0.6086956521739131,0.003549245448599414,0.017939999999999994,0.055519753806222025,0.28684414539511266,0.19355372838356696,1.0,0.19355372838356696
alpha009,-0.022096741921131757,-0.22913852955402467,-0.12184138365407793,-0.22913852955402467,0.29999999999999993,0.43478260869565216,-0.0015858201251537694,0.017939999999999998,-0.047873952786019656,0.30589726494552444,-0.1565033698308655,-1.0,0.1565033698308655
alpha010,-0.04980923748781019,-0.43870109559644693,-0.21175553018003412,-0.43870109559644693,0.3,0.391304347826087,-0.00381754059846333,0.017939999999999998,-0.028267507140746585,0.303763024487082,-0.09305776168273801,-1.0,0.09305776168273801
alpha011,-0.009588504217892924,-0.013191088360316624,-0.17313003768851642,-0.013191088360316624,0.2999999999999999,0.43478260869565216,-0.0001420993586687229,0.017939999999999994,0.05265005871657163,0.275814088245614,0.19088966430781612,1.0,0.19088966430781612
alpha012,-0.12062250780185446,-1.1908202397644168,-0.2518021411749235,-1.1908202397644168,0.2999999999999999,0.2608695652173913,-0.010228976400569504,0.017939999999999994,0.0004565554277004102,0.30724624888141294,0.0014859593220831338,1.0,0.0014859593220831338
alpha013,-0.10595526777203901,-0.443111145122236,-0.40244025975217257,-0.443111145122236,0.25217391304347825,0.34782608695652173,-0.007628066696104798,0.015079999999999996,0.0003193046065197201,0.30825186318231546,0.001035856209345497,1.0,0.001035856209345497
alpha014,-0.05468790526515466,-0.5546997245724926,-0.12358430308130297,-0.5546997245724926,0.29999999999999993,0.43478260869565216,-0.004329254539742916,0.017939999999999994,-0.007238806284084698,0.3164813927316107,-0.022872770565135578,-1.0,0.022872770565135578
alpha018,-0.039501042014785104,-0.34842078440504937,-0.14894123082693111,-0.34842078440504937,0.3,0.391304347826087,-0.002944635799605165,0.017939999999999998,-0.05515611149413967,0.32141445394447415,-0.17160432835938405,-1.0,0.17160432835938405
alpha022,0.12252040031339728,1.1676924092085887,-0.08428181420045278,1.1676924092085887,0.29999999999999993,0.6521739130434783,0.01010812040641966,0.017939999999999998,0.015862216073305176,0.30603879802047457,0.05183073576260734,1.0,0.05183073576260734
alpha033,-0.08732462945284769,-0.7630877411459469,-0.2882088859159523,-0.7630877411459469,0.3,0.391304347826087,-0.007082893827661146,0.017939999999999998,-0.03594996552743032,0.28095953201304713,-0.1279542476094418,-1.0,0.1279542476094418
alpha038,0.01693327707028347,0.22140192148119364,-0.11653697416097186,0.22140192148119364,0.29999999999999993,0.43478260869565216,0.0017636575358076973,0.017939999999999994,-0.034414247573893414,0.29858301145139055,-0.11525855877267843,-1.0,0.11525855877267843
alpha040,-0.019951770971895044,-0.20318793123825069,-0.14604328433207947,-0.20318793123825069,0.2999999999999999,0.391304347826087,-0.001405047013973497,0.017939999999999994,-0.02178651787776636,0.3012635226128704,-0.07231714509878605,-1.0,0.07231714509878605
alpha041,0.08516035380415676,0.8995914346848852,-0.0828998631398199,0.8995914346848852,0.29999999999999993,0.5217391304347826,0.007197497509713163,0.017939999999999994,-0.04179396589845071,0.3206005126989123,-0.13036150674437927,-1.0,0.13036150674437927
alpha043,-0.0375036068879655,-0.25465757110991366,-0.142882504939306,-0.25465757110991366,0.2999999999999999,0.5217391304347826,-0.0025899368724714173,0.017939999999999994,0.023125816721707732,0.32246730872385276,0.07171522847766157,1.0,0.07171522847766157
alpha101,-0.011199559169560613,-0.07886101562970149,-0.1579606625754213,-0.07886101562970149,0.29999999999999993,0.4782608695652174,-0.0006025491561249896,0.017939999999999998,0.03744531079921525,0.28661876206531817,0.13064500917313207,1.0,0.13064500917313207
