,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha018,alpha022,alpha033,alpha038,alpha040,alpha041,alpha043,alpha101
alpha002,1.0,-0.0030070329171760163,0.23298994323323174,0.21869929002482955,0.004500524699508696,0.05644903492089708,0.03473716524476933,0.01213355125966066,0.0748492285945178,0.14669552848890974,0.2819192778885827,-0.004269299130445223,0.07895587479402584,0.0693092818986038,0.11556582175222609,0.23727037712952492,0.17758002684619212,0.058571429565754896,0.11473849513428484,-0.10552558898677822
alpha003,-0.0030070329171760163,1.0,0.03323045896979282,0.019926085957261024,0.49060959037992896,0.10719571352371458,0.0038943638366186867,-0.01401605485888804,0.051329798636225964,0.020277573297964424,0.2370241211158976,0.4180998361124351,0.024789314675978488,-0.022712201626893736,0.02283235285292192,0.01931571108237181,0.35769234808225286,0.012517842643113588,0.10033571446527799,-0.02016503585512859
alpha004,0.23298994323323174,0.03323045896979282,1.0,0.33924037480232294,0.08062225424786738,0.09646863381871841,0.09624341144677362,0.02811401467543946,0.09493843091534579,0.11351835424121991,0.19067960086404165,0.06152510084640928,0.16574894641150625,0.09913946190500264,0.1888128681459585,0.3850371272167452,0.16565651692162134,0.07232330965822441,0.2100013005527527,-0.18045931227895642
alpha005,0.21869929002482955,0.019926085957261024,0.33924037480232294,1.0,0.026943206081592976,0.027781230801503,-0.04235048382601361,-0.09834054911778743,0.05836348893574215,0.14534452138054557,0.19057472576917142,0.007850684302663698,0.09740403207206517,0.09951926899409498,-0.00861969159438936,0.2280043252809625,0.33836886241821884,-0.008810146284636328,0.07423192931252119,0.010229004231383943
alpha006,0.004500524699508696,0.49060959037992896,0.08062225424786738,0.026943206081592976,1.0,0.17359100779850117,0.008388962234102789,-0.012763709904520828,0.0645745790049907,0.028552399633583032,0.17106519318504232,0.8776139900109058,0.03945240882660332,-0.026639497532872484,0.041906566271970584,0.05457956432719036,0.6319505452711116,0.02852889277132387,0.1825860891895577,-0.048699049090652764
alpha007,0.05644903492089708,0.10719571352371458,0.09646863381871841,0.027781230801503,0.17359100779850117,1.0,-0.018236986617289234,-0.030540601701993186,0.35168212274228716,0.03510153093800274,0.07580624169589965,0.1679833567513365,0.06288863288660264,0.028722869154211263,0.024663477811474897,0.050872416259697295,0.1618986749140369,0.005865704473733129,0.4356269187284896,-0.02842413202570702
alpha009,0.03473716524476933,0.0038943638366186867,0.09624341144677362,-0.04235048382601361,0.008388962234102789,-0.018236986617289234,1.0,0.8521401495510426,0.035592113639011824,0.08865394049657538,0.0531000080046035,0.0735252779024931,0.6017729345626567,0.08200497822137388,0.622901294681456,0.5599824814290479,0.05517713742123862,0.6350486879418844,0.13114244455769483,-0.5723970211555414
alpha010,0.01213355125966066,-0.01401605485888804,0.02811401467543946,-0.09834054911778743,-0.012763709904520828,-0.030540601701993186,0.8521401495510426,1.0,-0.015621724390948305,0.056418588850257204,0.022691750266395864,0.05925780499888016,0.5317296721498689,0.05398573636456366,0.5891138834368006,0.5023566554331622,0.03459907266599109,0.5199704310750469,0.10068926025601851,-0.5601040821451816
alpha011,0.0748492285945178,0.051329798636225964,0.09493843091534579,0.05836348893574215,0.0645745790049907,0.35168212274228716,0.035592113639011824,-0.015621724390948305,1.0,0.056307025346198726,0.09940236171567958,0.04618352438065784,0.1519137959677477,0.05581112175923205,0.07728209760189649,0.10677914616550772,0.09063813310583901,0.16315356166035416,0.35981735686529287,-0.08374127885468197
alpha012,0.14669552848890974,0.020277573297964424,0.11351835424121991,0.14534452138054557,0.028552399633583032,0.03510153093800274,0.08865394049657538,0.056418588850257204,0.056307025346198726,1.0,0.15457656943178377,0.03108859800192395,0.1855124325546112,0.14807217087039437,0.15605692274130809,0.19886153587122865,0.165743473344302,0.09525756077247198,0.12477647844991344,-0.12526125462883544
alpha013,0.2819192778885827,0.2370241211158976,0.19067960086404165,0.19057472576917142,0.17106519318504232,0.07580624169589965,0.0531000080046035,0.022691750266395864,0.09940236171567958,0.15457656943178377,1.0,0.14071872172006844,0.104130064696102,0.2563647012643043,0.1138645053858637,0.18755780367055266,0.2888967567407371,0.05304934136204533,0.13386971221600844,-0.09767749380160577
alpha014,-0.004269299130445223,0.4180998361124351,0.06152510084640928,0.007850684302663698,0.8776139900109058,0.1679833567513365,0.0735252779024931,0.05925780499888016,0.04618352438065784,0.03108859800192395,0.14071872172006844,1.0,0.08247420541060665,-0.012010046806333807,0.1214309210905785,0.11427210258862931,0.5570430594791472,0.07512363366697643,0.19020144532008013,-0.12110152067075589
alpha018,0.07895587479402584,0.024789314675978488,0.16574894641150625,0.09740403207206517,0.03945240882660332,0.06288863288660264,0.6017729345626567,0.5317296721498689,0.1519137959677477,0.1855124325546112,0.104130064696102,0.08247420541060665,1.0,0.11681580429387187,0.6786119365307401,0.6096193319019109,0.24534943043594895,0.6079854142804377,0.2164662577840015,-0.6374719139361509
alpha022,0.0693092818986038,-0.022712201626893736,0.09913946190500264,0.09951926899409498,-0.026639497532872484,0.028722869154211263,0.08200497822137388,0.05398573636456366,0.05581112175923205,0.14807217087039437,0.2563647012643043,-0.012010046806333807,0.11681580429387187,1.0,0.12261482545331974,0.1674460466180253,0.011901425638878823,0.07449988584537891,0.13259578418742762,-0.10656218596931773
