,mean_ic,ic_std,positive_ic_rate,icir
alpha041,0.042175921006994785,0.16600431793907122,0.5728155339805825,0.2540652046320546
alpha013,0.022659775956531777,0.09168200881704862,0.5922330097087378,0.24715618962657487
alpha014,0.02240366941051283,0.10377608415675518,0.5825242718446602,0.21588470592773362
alpha018,0.03595136688118,0.17868609684723574,0.5922330097087378,0.20119845648604623
alpha033,0.034545388681332216,0.17375112703320875,0.5825242718446602,0.19882109124235847
alpha006,0.02103463440658931,0.11399505700156834,0.6019417475728155,0.1845223377211866
alpha009,0.028157275921707345,0.16257931039950171,0.5533980582524272,0.17319101583416263
alpha038,0.028943693826350127,0.1802016127824768,0.5339805825242718,0.1606183950267324
alpha011,0.01924687543119495,0.13406375481991673,0.6019417475728155,0.1435650930189791
alpha040,0.021111003541168107,0.15037978529682136,0.5631067961165048,0.14038458360276923
alpha022,0.012552033173302897,0.10159201771489315,0.5436893203883495,0.12355334066234219
alpha003,0.008025024288028497,0.07328674946088132,0.5533980582524272,0.10950170865897198
alpha010,0.014724420793598534,0.1507143087633101,0.5533980582524272,0.09769756378422277
alpha043,0.01125128311343602,0.1209707881272163,0.5048543689320388,0.09300826495074044
alpha002,0.008224167103426211,0.1052365011508079,0.4174757281553398,0.07814937795813515
alpha012,0.004575891798220564,0.101999994554453,0.5728155339805825,0.044861686691343015
alpha004,0.005062577668272636,0.12291321551235135,0.4854368932038835,0.04118822900507314
alpha005,0.00025330752818647685,0.14646527652168675,0.49514563106796117,0.0017294715457623856
alpha007,-0.0005497673514770355,0.104645484811821,0.5339805825242718,-0.005253617511215663
alpha101,-0.02105732716859555,0.16559679139289182,0.49514563106796117,-0.12716023656904882
