feature,importance
alpha033__lag_07,0.06222475729959631
alpha014__lag_07,0.05841604550004145
alpha013__lag_11,0.05142648378945269
alpha006__lag_06,0.0396131843399126
alpha022__lag_55,0.03913373989489121
alpha041__lag_48,0.03909240578029612
alpha022__lag_56,0.0386819143540508
alpha006__lag_09,0.03721466062819336
alpha013__lag_29,0.03508544966040971
alpha041__lag_14,0.03473853052673732
alpha033__lag_32,0.030815575405722394
alpha033__lag_51,0.029009152000866515
alpha043__lag_02,0.025710177572744696
alpha041__lag_51,0.022250088052607184
alpha011__lag_14,0.021866300229256088
alpha009__lag_06,0.021724850966108402
alpha009__lag_37,0.021667946382988208
alpha038__lag_32,0.020218445495024252
alpha038__lag_43,0.01975045469089777
alpha014__lag_06,0.019629194618096604
alpha009__lag_07,0.019214610623646603
alpha018__lag_51,0.019103951712929466
alpha018__lag_00,0.018317562002477045
alpha014__lag_09,0.018225724957441514
alpha013__lag_00,0.016990293283768894
alpha003__lag_07,0.01601201579827247
alpha013__lag_10,0.015813748381199613
alpha014__lag_23,0.015662115258780338
alpha003__lag_08,0.015623729532093705
alpha041__lag_00,0.015123158003171216
alpha043__lag_14,0.015017534852159016
alpha011__lag_17,0.014896744484175987
alpha038__lag_31,0.014113202047024946
alpha038__lag_37,0.013842611873254196
alpha040__lag_23,0.013455028962999193
alpha018__lag_07,0.013393037651734883
alpha003__lag_09,0.013067634569919039
alpha018__lag_06,0.012306765138400946
alpha022__lag_50,0.011907474059585844
alpha033__lag_37,0.010452004293462686
alpha006__lag_07,0.00976909087253205
alpha043__lag_01,0.009604854486060462
alpha040__lag_06,0.005682805293744934
alpha009__lag_48,0.004134944673271214
