candidate,objective,pca_components,params,validation_rmse,validation_mae,validation_ic,best_iteration,selected,test_year
1,rank:pairwise,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 2, ""n_estimators"": 350, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.3112948956066696,0.264728564717806,-0.02501870431450913,61,False,2024
2,rank:pairwise,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 450, ""reg_lambda"": 3.0, ""subsample"": 0.9}",0.2887152157959904,0.25003880827158836,0.01418368933147139,0,False,2024
3,rank:pairwise,10.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 2, ""n_estimators"": 350, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.2886437054038578,0.24998273254469427,0.044117354705632154,0,True,2024
4,rank:pairwise,10.0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 450, ""reg_lambda"": 3.0, ""subsample"": 0.9}",0.2886745485872119,0.2500082357844438,0.01942949738357548,0,False,2024
1,rank:pairwise,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 2, ""n_estimators"": 350, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.29078217506352577,0.2515676313365204,0.016792639500704167,14,True,2025
2,rank:pairwise,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 450, ""reg_lambda"": 3.0, ""subsample"": 0.9}",0.2887305463600797,0.25010795029433386,-0.008645737259636792,1,False,2025
3,rank:pairwise,10.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 2, ""n_estimators"": 350, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.2888207071471344,0.25013358636035715,-0.046136226256485065,0,False,2025
4,rank:pairwise,10.0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 450, ""reg_lambda"": 3.0, ""subsample"": 0.9}",0.2887526426556023,0.2500669765917669,-0.050564187243042034,0,False,2025
1,rank:pairwise,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 2, ""n_estimators"": 350, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.28967027174613635,0.2507094194668577,-0.008117748311437932,10,False,2026
2,rank:pairwise,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 450, ""reg_lambda"": 3.0, ""subsample"": 0.9}",0.2885609773100582,0.24981287812564107,0.021672334635883476,2,True,2026
3,rank:pairwise,10.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 2, ""n_estimators"": 350, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.288648614459901,0.2499915459202017,-0.0011259853871984037,1,False,2026
4,rank:pairwise,10.0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 450, ""reg_lambda"": 3.0, ""subsample"": 0.9}",0.2961690915747668,0.25406743814007654,0.003827989837493699,27,False,2026
