factor,annual_return,sharpe,max_drawdown,information_ratio,average_turnover,win_rate,average_return,total_cost,mean_ic,ic_std,icir,direction,selection_score
alpha002,-0.030165236766568126,-0.3052570025467525,-0.1731089222534159,-0.3052570025467525,0.30000000000000004,0.43333333333333335,-0.002235206768292144,0.023399999999999997,0.009499089124774946,0.09719169434722351,0.09773560578992323,1.0,0.09773560578992323
alpha003,-0.011630573262490063,-0.19953150107878967,-0.08244214817268714,-0.19953150107878967,0.30000000000000004,0.43333333333333335,-0.0008651911262901363,0.023399999999999997,0.007464273468776895,0.07056784972506439,0.10577442132441403,1.0,0.10577442132441403
alpha004,-0.044114534967407915,-0.7858475440046446,-0.14371145772759775,-0.7858475440046446,0.30000000000000004,0.43333333333333335,-0.003627764810899914,0.023399999999999997,0.010400062915531232,0.12839272887437186,0.0810019617676898,1.0,0.0810019617676898
alpha005,0.06875825444947559,0.48148323362838596,-0.09914823323289557,0.48148323362838596,0.30000000000000004,0.43333333333333335,0.006645420029197034,0.023399999999999997,-0.0048614066334572,0.14210094952624724,-0.03421093701108069,-1.0,0.03421093701108069
alpha006,-0.05782867540458658,-0.46381112278060543,-0.2568761085972019,-0.46381112278060543,0.30000000000000004,0.43333333333333335,-0.004430906837981871,0.023399999999999997,0.01705855747405165,0.10938378347148786,0.1559514302090141,1.0,0.1559514302090141
alpha007,-0.023415622124424385,-0.19668508800458206,-0.1457906951576411,-0.19668508800458206,0.30000000000000004,0.4,-0.001594984822280573,0.023399999999999997,0.0037858129467371023,0.10267331274751096,0.03687241450996115,1.0,0.03687241450996115
alpha009,0.013699048592936691,0.20434424708716942,-0.10427777402315752,0.20434424708716942,0.30000000000000004,0.5333333333333333,0.0014196508091228808,0.023399999999999997,0.017131164054929274,0.1387585564578001,0.1234602354784462,1.0,0.1234602354784462
alpha010,0.04898937416085869,0.7656578453429627,-0.07053523438566667,0.7656578453429627,0.30000000000000004,0.6333333333333333,0.004165975173628585,0.023399999999999997,0.00838647498451926,0.12955075912783698,0.0647350508864539,1.0,0.0647350508864539
alpha011,-0.042132714767198376,-0.6639579438819466,-0.15767635526606238,-0.6639579438819466,0.30000000000000004,0.4,-0.003426130823687941,0.023399999999999997,0.0210784283719082,0.1249261314887118,0.16872713595404035,1.0,0.16872713595404035
alpha012,0.0012924638716358405,0.05238209930982281,-0.08987639565613914,0.05238209930982281,0.30000000000000004,0.4,0.0003178056678499519,0.023399999999999997,-0.0002081236690484279,0.07996682131240604,-0.0026026252592353527,-1.0,0.0026026252592353527
alpha013,-0.07207077477785506,-0.5799754574352518,-0.25833083962394265,-0.5799754574352518,0.30000000000000004,0.4666666666666667,-0.005659369391263621,0.023399999999999997,0.021910386739037207,0.08695595075788815,0.25197110201281564,1.0,0.25197110201281564
alpha014,-0.08507229464029631,-0.7270861820844997,-0.3059809607212417,-0.7270861820844997,0.30000000000000004,0.4666666666666667,-0.00686507432304834,0.023399999999999997,0.019333197868405625,0.10578726464136631,0.18275543784923337,1.0,0.18275543784923337
alpha018,-0.030487307780901696,-0.2549566122806724,-0.15649546576936935,-0.2549566122806724,0.30000000000000004,0.5666666666666667,-0.002149077998939772,0.023399999999999997,0.021692279547709588,0.15917055272789837,0.13628324571312184,1.0,0.13628324571312184
alpha022,-0.01768405802766626,-0.24967078139174934,-0.08254945248850687,-0.24967078139174934,0.30000000000000004,0.5333333333333333,-0.0013188655927488168,0.023399999999999997,0.02282605331453224,0.09099454729240544,0.2508507816537853,1.0,0.2508507816537853
alpha033,0.004340012790761794,0.09450163099053488,-0.15232454140879248,0.09450163099053488,0.30000000000000004,0.5,0.0005916169036080329,0.023399999999999997,0.031355031213513074,0.1457388755026571,0.21514528025119428,1.0,0.21514528025119428
alpha038,-0.016406006678375773,-0.1688419539859117,-0.15606670998077876,-0.1688419539859117,0.30000000000000004,0.5,-0.001121183371765817,0.023399999999999997,0.025829708033727194,0.15546669509830494,0.16614303158238822,1.0,0.16614303158238822
alpha040,-0.08678038844006997,-0.3907125037506571,-0.347884639559881,-0.3907125037506571,0.30000000000000004,0.43333333333333335,-0.006141949629570694,0.023399999999999997,0.010581429085308356,0.12967169765119713,0.08160168546394185,1.0,0.08160168546394185
alpha041,0.004639886049017994,0.10515381489686486,-0.11815551370025845,0.10515381489686486,0.30000000000000004,0.4666666666666667,0.0005371202320905626,0.023399999999999997,0.03601108564427921,0.14060665433426559,0.25611224315649883,1.0,0.25611224315649883
alpha043,-0.05473196478100628,-1.1203786533980864,-0.1520945826610436,-1.1203786533980864,0.30000000000000004,0.43333333333333335,-0.004581644019102533,0.023399999999999997,0.02038002759169595,0.11295909384445017,0.18041953859651336,1.0,0.18041953859651336
alpha101,-0.025018654517805605,-0.3642989831920266,-0.15032388249299866,-0.3642989831920266,0.30000000000000004,0.43333333333333335,-0.0019447647453018093,0.023399999999999997,-0.018329210726888343,0.14081102630911352,-0.13016885969321315,-1.0,0.13016885969321315
