factor,mean_ic,ic_std,icir,positive_ic_rate,months,eligible,selected_lags,test_year
alpha006,0.03170031284540471,0.10615924463236254,1.0344186727065516,0.7,60,True,"7,6,9",2024
alpha013,0.022613868220454816,0.08454114756778024,0.9266107650618768,0.6333333333333333,60,True,"11,29,10",2024
alpha014,0.02807415553614859,0.10608530063116502,0.9167314129082169,0.6166666666666667,60,True,"7,9,6",2024
alpha041,0.0342567626199702,0.14378825218575242,0.8253032143956195,0.6,60,True,"14,51,48",2024
alpha033,0.03130846843621863,0.15176607112009535,0.7146242587486586,0.6166666666666667,60,True,"51,32,7",2024
alpha022,0.015060394475634753,0.09232927501390031,0.5650508662588727,0.5666666666666667,60,True,"55,56,50",2024
alpha003,0.010676631643465547,0.06551982109555589,0.5644847055736008,0.55,60,True,"8,9,7",2024
alpha043,0.0162663215861048,0.11572395229754705,0.4869189978397424,0.5333333333333333,60,False,,2024
alpha038,0.022772256827791045,0.1644452203697647,0.4797063209262285,0.5333333333333333,60,False,,2024
alpha009,0.02013038115928526,0.1455820627884878,0.47899916069009735,0.6,60,False,,2024
alpha010,0.014215032135831241,0.13322099534928555,0.3696287935085764,0.5833333333333334,60,False,,2024
alpha004,0.010567278946338392,0.1358537466286907,0.26945247351677554,0.5,60,False,,2024
alpha011,0.009486688191651885,0.12875539903370883,0.2552347484737777,0.6,60,False,,2024
alpha002,0.006903728888437173,0.09910466093447193,0.2413127512612262,0.43333333333333335,60,False,,2024
alpha040,0.004749149649024037,0.13598823191034426,0.12097765180564599,0.5166666666666667,60,False,,2024
alpha018,0.004397382390645332,0.16218053955171913,0.09392606217686827,0.5666666666666667,60,False,,2024
alpha012,0.0007624088037074904,0.08410818564797536,0.0314007673328278,0.55,60,False,,2024
alpha007,-0.0036894785005458673,0.10593708400706371,-0.12064451794713134,0.5166666666666667,60,False,,2024
alpha101,-0.01700118675160228,0.14682283910658905,-0.4011217794441971,0.5,60,False,,2024
alpha005,-0.02207724222147159,0.14444531898928248,-0.5294585589364903,0.43333333333333335,60,False,,2024
alpha041,0.03898505324420113,0.1418752271485523,0.9518799625819421,0.5972222222222222,72,True,"48,51",2025
alpha022,0.024471860258554277,0.09142435565461013,0.9272475593631222,0.5833333333333334,72,True,"55,56",2025
alpha013,0.022820213678786377,0.08668587074651593,0.9119310722924219,0.6111111111111112,72,True,"11,29",2025
alpha033,0.03508906668151474,0.14813698033867578,0.8205384792319587,0.5972222222222222,72,True,"51,32",2025
alpha043,0.023230501535846652,0.11473908017474863,0.7013549155895765,0.5416666666666666,72,True,"2,1",2025
alpha011,0.025633740829688802,0.12992609700932084,0.6834491688284707,0.6527777777777778,72,True,"14,17",2025
alpha038,0.028520846380836146,0.1560477891418054,0.6331336737053577,0.5555555555555556,72,True,"32,43",2025
alpha014,0.01810600427486482,0.1055545295471483,0.5942050892684293,0.5694444444444444,72,True,"7,23",2025
alpha018,0.028170215471627062,0.16733144718044649,0.5831808100530497,0.6111111111111112,72,True,"51,6",2025
alpha009,0.021497604065070727,0.142672675243713,0.5219631918739467,0.5694444444444444,72,True,"48,6",2025
alpha006,0.014957153022243676,0.11006470122019552,0.4707512705509421,0.625,72,False,,2025
alpha003,0.007703939682015212,0.0700986359167165,0.3807096892313221,0.5555555555555556,72,False,,2025
alpha040,0.014155616606829005,0.13227890422220734,0.3707053262900767,0.5555555555555556,72,False,,2025
alpha002,0.009860852104731083,0.09655362674635116,0.3537826061404199,0.4444444444444444,72,False,,2025
alpha010,0.013169412569527021,0.1348855837602212,0.3382139297673985,0.5694444444444444,72,False,,2025
alpha004,0.009778104112137913,0.1275945375547474,0.2654686234769913,0.5138888888888888,72,False,,2025
alpha007,0.004094891552395886,0.10198142524700995,0.13909513821865746,0.5555555555555556,72,False,,2025
alpha005,-0.00014868366535118903,0.14665394121659256,-0.0035120455748746116,0.5138888888888888,72,False,,2025
alpha012,-0.0010531109589580444,0.07972474316394225,-0.0457584838667223,0.5416666666666666,72,False,,2025
alpha101,-0.021399763044286927,0.14222277632203179,-0.5212312376565237,0.5,72,False,,2025
alpha013,0.02300602434482164,0.08567990088143138,0.9301505402192495,0.6190476190476191,84,True,"11,0",2026
alpha041,0.04014049694119312,0.1571955884254045,0.8845716452940042,0.5952380952380952,84,True,"0,14",2026
alpha022,0.022767684367181917,0.1012156823234492,0.7792228474759718,0.5952380952380952,84,True,"55,56",2026
alpha014,0.02170779569115344,0.10631448982266811,0.7073166624816128,0.5833333333333334,84,True,"7,6",2026
alpha033,0.03309720444319123,0.16669470992803295,0.6877967478254223,0.5833333333333334,84,True,"7,37",2026
alpha018,0.0336616414329124,0.1742233602983442,0.6692979991676123,0.6071428571428571,84,True,"7,0",2026
alpha038,0.0294526478933487,0.17272834420100763,0.5906787656037614,0.5476190476190477,84,True,"31,37",2026
alpha043,0.020114053864603354,0.11886180545880809,0.5862028278166032,0.5238095238095238,84,True,"2,14",2026
alpha006,0.01884476375240016,0.11201731167755298,0.5827686415068665,0.6309523809523809,84,True,"6,9",2026
alpha009,0.025012343219939795,0.15530529915579686,0.5579030401252038,0.5595238095238095,84,True,"37,7",2026
alpha040,0.021987164610164398,0.13738006886930754,0.5544164671429028,0.5833333333333334,84,True,"6,23",2026
alpha011,0.018780586609512415,0.13918918824992024,0.4674059905459914,0.6190476190476191,84,False,,2026
alpha012,0.010398845810954481,0.10198279481164893,0.35322290035123866,0.5833333333333334,84,False,,2026
alpha003,0.007341549722888037,0.07428204263396941,0.3423690753630475,0.5595238095238095,84,False,,2026
alpha002,0.007520071909320295,0.09851926408173026,0.2644182687501352,0.4166666666666667,84,False,,2026
alpha004,0.008054067316037566,0.1274380751323607,0.21893070472805018,0.5119047619047619,84,False,,2026
alpha010,0.008484209399730127,0.1456319735845139,0.20181120094287672,0.5476190476190477,84,False,,2026
alpha005,0.00368437725347178,0.14783188587650203,0.0863349413345818,0.5238095238095238,84,False,,2026
alpha007,-0.0007886832310813349,0.10191536347827933,-0.026807330724019723,0.5357142857142857,84,False,,2026
alpha101,-0.019462048061000638,0.15954720320097832,-0.42256154147105424,0.5,84,False,,2026
