feature,mean_ic,ic_std,positive_ic_rate,months,icir,abs_mean_ic,factor,lag,selected,test_year
alpha033__lag_51,-0.06158306974587734,0.14671299911402938,0.35,60,-1.45406346172522,0.06158306974587734,alpha033,51,True,2024
alpha038__lag_51,-0.05661716683811548,0.1417939793029455,0.4166666666666667,60,-1.383187213255432,0.05661716683811548,alpha038,51,False,2024
alpha101__lag_51,0.05515578005704846,0.1431429769758128,0.6666666666666666,60,1.334785896007242,0.05515578005704846,alpha101,51,False,2024
alpha038__lag_31,0.054165596752528605,0.12914165254950333,0.7,60,1.4529404533011474,0.054165596752528605,alpha038,31,False,2024
alpha018__lag_51,-0.05289919096648365,0.14852973867684086,0.4,60,-1.2337473592757964,0.05289919096648365,alpha018,51,False,2024
alpha011__lag_14,0.052277553609855296,0.12535154704447268,0.6166666666666667,60,1.4446950369994302,0.052277553609855296,alpha011,14,False,2024
alpha014__lag_07,0.05149291459768371,0.09225018445860583,0.7166666666666667,60,1.9336187745622029,0.05149291459768371,alpha014,7,True,2024
alpha006__lag_07,0.050383809151505005,0.1019524909048581,0.6833333333333333,60,1.7119212400744217,0.050383809151505005,alpha006,7,True,2024
alpha041__lag_14,0.05027546437733944,0.15457715922988163,0.6166666666666667,60,1.1266820933896107,0.05027546437733944,alpha041,14,True,2024
alpha009__lag_17,0.04901211768643997,0.13785470733660726,0.6166666666666667,60,1.231607968412353,0.04901211768643997,alpha009,17,False,2024
alpha018__lag_10,-0.0463447991116321,0.14555195532582635,0.3,60,-1.102995099560529,0.0463447991116321,alpha018,10,False,2024
alpha018__lag_43,-0.04624398134070589,0.16555978795733636,0.35,60,-0.9675891255310155,0.04624398134070589,alpha018,43,False,2024
alpha038__lag_32,0.04612826856007961,0.14308067687049264,0.6166666666666667,60,1.1168035622805597,0.04612826856007961,alpha038,32,False,2024
alpha006__lag_06,0.04559855464237386,0.10197195759466368,0.65,60,1.5490339747371937,0.04559855464237386,alpha006,6,True,2024
alpha041__lag_51,-0.04552835763923394,0.1398280191228283,0.4166666666666667,60,-1.1279202710731324,0.04552835763923394,alpha041,51,True,2024
alpha041__lag_48,0.04522414851489092,0.14703064035686458,0.6166666666666667,60,1.0654993104391326,0.04522414851489092,alpha041,48,True,2024
alpha005__lag_48,-0.044971033289761424,0.15063601668725787,0.3333333333333333,60,-1.0341765035974553,0.044971033289761424,alpha005,48,False,2024
alpha006__lag_09,0.04470467131674399,0.11184767770118642,0.65,60,1.3845752303080012,0.04470467131674399,alpha006,9,True,2024
alpha013__lag_11,0.04465829531570804,0.0867095749313124,0.7166666666666667,60,1.7841267594148675,0.04465829531570804,alpha013,11,True,2024
alpha004__lag_31,0.04441691319423047,0.1292062318981459,0.6,60,1.1908458166078222,0.04441691319423047,alpha004,31,False,2024
alpha041__lag_16,0.04389584179142297,0.14550768022327026,0.6333333333333333,60,1.045028387602468,0.04389584179142297,alpha041,16,False,2024
alpha010__lag_48,0.04383303975593397,0.12586947968640347,0.65,60,1.2063456859695783,0.04383303975593397,alpha010,48,False,2024
alpha041__lag_06,0.043729133304787525,0.1758268580607103,0.5833333333333334,60,0.861541649441203,0.043729133304787525,alpha041,6,False,2024
alpha041__lag_01,-0.04356134436398196,0.13963546809037003,0.4,60,-1.0806776060018,0.04356134436398196,alpha041,1,False,2024
alpha038__lag_43,-0.04340747492076115,0.1571040634891873,0.38333333333333336,60,-0.9571229454062425,0.04340747492076115,alpha038,43,False,2024
