strategy,year,net_return,sharpe,max_drawdown
ML,2024,0.029014190325020728,0.5028835015150729,-0.02183321004816141
ML,2025,0.0396751755201461,0.7989123432320767,-0.034894687902853994
ML,2026,-0.003795504314354048,0.0688032874432955,-0.12700164495611177
Equal weight,2024,-0.07072811073550445,-0.5921756107874415,-0.12719562372972215
Equal weight,2025,-0.18382665557763067,-1.5092047728096356,-0.17817427541143205
Equal weight,2026,0.07730435536445857,0.7001803887316285,-0.09008434236693408
ICIR weight,2024,-0.07346802599465474,-0.6219081067374137,-0.1230256630931309
ICIR weight,2025,-0.16220849111490876,-1.5978025158831073,-0.13791248491760166
ICIR weight,2026,0.08152466030718841,1.0449151435860273,-0.025575386304876768
Single: alpha041,2024,-0.01553845868128978,-0.29100643968258605,-0.04357559178643511
Single: alpha041,2025,-0.03668443887116335,-0.5009091826951784,-0.10494979311612296
Single: alpha041,2026,0.06674031984512552,2.2062411543373135,-0.012262774481136995
