date,ticker,open,high,low,close,volume,amount,market_cap
2021-01-04,600584,41.49,42.01,40.67,41.52,67647177.0,2874817273.0,56460723004.560005
2021-01-05,600584,41.25,43.38,41.09,43.24,90405338.0,3923012239.0,58799654689.72
2021-01-06,600584,43.57,43.57,41.32,41.38,72288714.0,3128182100.0,56270344844.14001
2021-01-07,600584,41.66,41.8,40.42,41.15,56662246.0,2383044566.0,55957580723.45
2021-01-08,600584,41.49,41.88,40.52,41.03,47617412.0,2013355037.0,55794399443.090004
2021-01-11,600584,41.04,42.76,41.04,42.49,78671769.0,3393344807.0,57779771687.47
2021-01-12,600584,42.61,43.23,41.46,43.17,70922685.0,3086844226.0,58704465609.51
2021-01-13,600584,43.56,46.2,43.56,45.27,126230244.0,5811517580.0,61560138015.810005
2021-01-14,600584,45.86,46.85,43.57,44.87,125982298.0,5890113456.0,61016200414.60999
2021-01-15,600584,45.08,45.96,43.23,43.93,84015866.0,3852646364.0,59737947051.79
2021-01-18,600584,43.45,47.82,43.25,47.06,108226077.0,5123091544.0,63994258781.18
2021-01-19,600584,47.15,47.73,45.88,46.05,91078183.0,4369445101.0,62620816338.149994
2021-01-20,600584,45.98,46.81,44.76,46.45,70588655.0,3320268143.0,63164753939.350006
2021-01-21,600584,46.23,46.85,45.3,46.25,61993011.0,2927643681.0,62892785138.75
2021-01-22,600584,46.27,46.74,42.96,43.1,109929247.0,4970493241.0,58609276529.3
2021-01-25,600584,44.42,47.05,43.73,44.86,124089122.0,5768742712.0,61002601974.58
2021-01-26,600584,44.61,47.02,44.2,45.85,99215665.0,4661023449.0,62348847537.55
2021-01-27,600584,45.49,45.84,42.11,43.03,103942257.0,4608332934.0,58514087449.090004
2021-01-28,600584,41.78,42.91,40.66,40.78,68831481.0,2941654521.0,55454438442.340004
2021-01-29,600584,41.3,41.47,39.15,39.79,63432077.0,2592613975.0,54108192879.369995
2021-02-01,600584,39.9,40.59,39.06,40.56,48056632.0,1963198661.0,55155272761.68
2021-02-02,600584,40.6,40.6,39.4,40.23,43926404.0,1797436054.0,54706524240.689995
2021-02-03,600584,40.03,40.11,38.01,38.05,61885582.0,2469454605.0,51742064314.149994
2021-02-04,600584,37.84,40.58,37.05,40.41,81045679.0,3224154405.0,54951296161.229996
2021-02-05,600584,39.83,40.11,38.95,39.11,47228727.0,1911667680.0,53183498957.33
2021-02-08,600584,39.34,40.56,38.72,39.82,44814073.0,1837254851.0,54148988199.46
2021-02-09,600584,39.82,40.89,39.34,40.78,45512767.0,1882628961.0,55454438442.340004
2021-02-10,600584,41.13,41.2,40.38,40.89,39174452.0,1640405984.0,55604021282.67
2021-02-18,600584,41.51,42.95,41.25,41.91,55877648.0,2412443027.0,56991062165.729996
2021-02-19,600584,41.3,42.27,40.61,42.08,42853537.0,1822816744.0,57222235646.24
2021-02-22,600584,42.17,43.25,40.82,40.82,56210023.0,2421311593.0,55508832202.46
2021-02-23,600584,40.03,40.63,39.35,39.71,37797185.0,1547952834.0,53999405359.130005
2021-02-24,600584,40.02,41.19,39.71,39.98,42785982.0,1774645895.0,54366563239.939995
2021-02-25,600584,40.04,40.31,38.66,38.66,43293051.0,1735114966.0,52571569155.979996
2021-02-26,600584,37.71,38.62,37.6,38.62,39827391.0,1553532594.0,52517175395.85999
2021-03-01,600584,38.77,39.63,38.22,39.51,38259086.0,1530225468.0,53727436558.53
2021-03-02,600584,40.19,40.28,38.95,39.34,33498478.0,1358568564.0,53496263078.020004
2021-03-03,600584,39.25,39.95,38.44,39.83,32577458.0,1306172631.0,54162586639.49
2021-03-04,600584,39.64,40.75,39.21,39.57,40872082.0,1674001562.0,53809027198.71
2021-03-05,600584,38.63,39.63,38.27,39.15,26556529.0,1060817735.0,53237892717.45
2021-03-08,600584,39.32,39.49,37.4,37.44,33420789.0,1318261953.0,50912559472.32
